Story ID,Prediction,Rationale
7,1,"Primary text states: ""The night was dark. I saw no one on board. Feeling fatigued by thirty hours of travel, and knowing that a good way to avoid sea-sickness is to go to bed on embarking, and not stir from your bunk for t..."". This aligns with the backstory claim that 'Leading a scientific party he insisted on travelling light, leaving the team short of supplies; he watched three members die of malaria and thereafter kept a bulging backpack wherever he went', establishing internal consistency."
121,1,"Primary text states: ""His looking-glass had assured him, during his stay at Leghorn, that he ran no risk of recognition; moreover, he had now the means of adopting any disguise he thought proper. One fine morning, then, hi..."". This aligns with the backstory claim that 'Aboard the prison transport he met Edmond Dantès’ father, heard tales of the merchant Pharaon and thus gained the first thread that later let him recognise the young sailor', establishing internal consistency."
129,0,"Primary text states: ""His looking-glass had assured him, during his stay at Leghorn, that he ran no risk of recognition; moreover, he had now the means of adopting any disguise he thought proper. One fine morning, then, hi..."". This refutes the backstory claim that 'He learnt to carve fish-bone pen-nibs from an old Macao watchmaker, letting him pursue scholarship without proper tools' by demonstrating an incompatible narrative state."
51,1,"Primary text states: ""Suddenly, about six o'clock in the evening, he manifested signs of extreme agitation. He turned frequently towards the vast expanse to the south; his neighs were prolonged, his nostrils keenly snuffed..."". This aligns with the backstory claim that 'Horse-thieves attacked; the old shepherd died shielding Thalcave, and with his last breath begged the youth to “stand between civilisation and the wild', establishing internal consistency."
127,1,"Primary text states: ""This same person, with almost incredible patience and perseverance, had contrived to provide himself with tools requisite for so unparalleled an attempt. Another had done all this; why, then, was it i..."". This aligns with the backstory claim that 'During twenty years in one cell he kept his wits by calculating Mediterranean tides, an exercise that later let him predict guards’ rounds in the original story', establishing internal consistency."
133,1,"Primary text states: ""declare to belong to him alo... heir. “25th April, 149’”   “Well!” said Faria, when the young man had finished reading it. “Why,” replied Dantès, “I see nothing but broken lines and unconnected words,..."". This aligns with the backstory claim that 'University lectures on Enlightenment science convinced him that religion and reason could be fused into one worldview', establishing internal consistency."
52,1,"Primary text states: ""Thalcave might easily have gone ahead, for in a few hours Thaouka could have carried him to the banks of the stream. He doubtless thought of it, but probably did not like to leave his two companions a..."". This aligns with the backstory claim that 'On the Patagonian frontier he trapped a wary black stallion named Thaouka and spent three months taming it with ancient Tehuelche methods', establishing internal consistency."
114,1,"Primary text states: ""declare to belong to him alo... heir. “25th April, 149’”   “Well!” said Faria, when the young man had finished reading it. “Why,” replied Dantès, “I see nothing but broken lines and unconnected words,..."". This aligns with the backstory claim that 'At twelve he entered Bologna University, read theology and chemistry, and caused a stir by decoding ciphers in a fifteenth-century alchemist’s notebook', establishing internal consistency."
2,1,"Primary text states: ""The night was dark. I saw no one on board. Feeling fatigued by thirty hours of travel, and knowing that a good way to avoid sea-sickness is to go to bed on embarking, and not stir from your bunk for t..."". This aligns with the backstory claim that 'Caught secretly studying Latin in the church school, he was made to stand as punishment, yet the episode let him befriend a Spanish-speaking caretaker and pick up basic Spanish while helping the man compose letters', establishing internal consistency."
33,1,"Primary text states: """"I am ready to answer,"" continued he. ""We have no questions to ask you,"" rejoined Glenarvan. ""Tell us what you know, Ayrton, and, in the first place, who you are.""  ""Gentlemen,"" replied he, ""I am real..."". This aligns with the backstory claim that 'He volunteered for Captain Grant’s crew chiefly to spy on the colonisation schemes backed by Scottish nobles', establishing internal consistency."
15,1,"Primary text states: ""In short, it reached the ear of Mrs. Olbinett, and spread. Jacques Paganel, during his three days' captivity among the Maoris, had been tattooed from head to foot, and bore on his breast the picture o..."". This aligns with the backstory claim that 'Calm before cannibals: his Amazon years taught him to gauge a tribe’s degree of civilization by studying the bone ornaments they wore', establishing internal consistency."
82,1,"Primary text states: ""The men had their hands tied, the ladies were free. All were placed in the centre of the encampment, around which large fires formed an impassable barrier. Before Kai-Koumou had informed his captives..."". This aligns with the backstory claim that 'Captured at sixteen, he gnawed fish-bones to stay alive during months of imprisonment; on escape he inspired fellow captives by chewing burnt bone ash, then sneaked into a British merchant’s cabin, stole torn pages of an English dictionary and pieced together enough words for rough conversation', establishing internal consistency."
37,1,"Primary text states: """"I am ready to answer,"" continued he. ""We have no questions to ask you,"" rejoined Glenarvan. ""Tell us what you know, Ayrton, and, in the first place, who you are.""  ""Gentlemen,"" replied he, ""I am real..."". This aligns with the backstory claim that 'Tom Ayrton was born near Exeter to a fisherman father, retired naval petty-officer James Ayrton; his mother died young and he was reared by his elder brother Benjamin, learning tides and wind signs on fishing trips while secretly studying the Nautical Almanac and dreaming of “conquering the seas', establishing internal consistency."
3,1,"Primary text states: """"Go, then, my husband!"" replied Lady Helena, restraining her emotion. He pressed her to his breast, while Robert threw himself upon the neck of his sister. ""And now, dear companions,"" said Jacques Pag..."". This aligns with the backstory claim that 'After his mother died he quarrelled with his father and left home, carrying the Polynesian nautical charts she had bequeathed to him', establishing internal consistency."
103,0,"Primary text states: ""“Was not your father a Bonapartist?” asked Monte Cristo; “I think I remember that you told me something of that kind.”  “My father has been a Jacobin more than anything else,” said Villefort, carried..."". This refutes the backstory claim that 'As Napoleon climbed toward dictatorship Noirtier distanced himself from former comrades and grew wary of power’s corruption' by demonstrating an incompatible narrative state."
94,0,"Primary text states: ""“Was not your father a Bonapartist?” asked Monte Cristo; “I think I remember that you told me something of that kind.”  “My father has been a Jacobin more than anything else,” said Villefort, carried..."". This refutes the backstory claim that 'To treat worsening hand tremors he allowed his private doctor to test a new sedative on political prisoners; the secret gave him leverage over enemies even after paralysis set in' by demonstrating an incompatible narrative state."
85,1,"Primary text states: ""Poor Mary Grant felt herself growing weak, and Captain Mangles supported her, ready to die in her defence. The others endured this torrent of invectives in various ways, either indifferent like the ma..."". This aligns with the backstory claim that 'Hearing that foreigners sought the missing captain’s daughter and would pay richly for her return, he volunteered to lead the pursuit', establishing internal consistency."
21,1,"Primary text states: ""They then returned to the deck, and the seven travelers left the vessel. They soon reached the wharf, which the yacht approached within less than half a cable's length. Lady Helena cried for the last..."". This aligns with the backstory claim that 'The Royal Navy frigate HMS Austin, bound for Australia and New Zealand under Lieutenant Grant, quietly promoted the sympathetic young sailor to ship’s assistant', establishing internal consistency."
49,1,"Primary text states: ""Where was this prisoner? What was he doing? When had Thalcave heard of him? All these questions thronged his mind at once. He did not have to wait long for answers, but learnt that the European was a..."". This aligns with the backstory claim that 'For two years he lived solo in the Andean border wilds, tempering an ice-cold nerve by trailing pumas and dodging bandits', establishing internal consistency."
140,1,"Primary text states: ""They were thus perpetually employed,—Faria, that he might not see himself grow old; Dantès, for fear of recalling the almost extinct past which now only floated in his memory like a distant light wand..."". This aligns with the backstory claim that 'Friendships forged in secret cells and exile sustained him through the long years of imprisonment and seclusion', establishing internal consistency."
64,1,"Primary text states: ""This problem harassed Glenarvan. It was advisable at all hazards to keep track of the captain. In short, it was better to follow Thalcave's advice and reach the village of Tandil, where at least they..."". This aligns with the backstory claim that 'South-latitude incident: off the Chilean coast he ferried water and provisions to a burning barque and fished a sailor from the sea during a squall', establishing internal consistency."
131,0,"Primary text states: ""His looking-glass had assured him, during his stay at Leghorn, that he ran no risk of recognition; moreover, he had now the means of adopting any disguise he thought proper. One fine morning, then, hi..."". This refutes the backstory claim that 'Born in 1760 to a declining Italian noble house, he devoured the family library and startled tutors with his memory' by demonstrating an incompatible narrative state."
61,0,"Primary text states: ""He dismounted, and traced on the sand a geographical map, with lines of latitude and longitude, the two oceans, and the road to Carmen. Never was professor in such embarrassment. Thalcave watched thes..."". This refutes the backstory claim that 'Slave-raiders seized his little sister Nawee; too young to save her, he swore ever after to help anyone in distress' by demonstrating an incompatible narrative state."
86,1,"Primary text states: ""However, from a few words exchanged, Glenarvan perceived that they were acquainted with the English language. He therefore resolved to question the chief in regard to the fate that was in store for th..."". This aligns with the backstory claim that 'At first Glenarvan found him haughty and cold, yet observed that the man valued life and kept his word; though words were few, a fragile trust grew between them during their stand-off', establishing internal consistency."
38,1,"Primary text states: ""His band followed us. A poisonous plant enabled him to gradually kill our oxen and horses. Then, at the proper moment, he entangled us in the marshes of the Snowy, and surrendered us to the convicts h..."". This aligns with the backstory claim that 'His quick temper and refusal to accept unjust punishment led to repeated discipline and growing disillusion; during a storm on a convoy run he insisted on saving people but was reprimanded for “disrupting military order', establishing internal consistency."
132,0,"Primary text states: ""His looking-glass had assured him, during his stay at Leghorn, that he ran no risk of recognition; moreover, he had now the means of adopting any disguise he thought proper. One fine morning, then, hi..."". This refutes the backstory claim that 'By eighteen he was a star student at Rome University, fluent in several languages and already publishing notes on history and natural philosophy' by demonstrating an incompatible narrative state."
77,1,"Primary text states: ""Glenarvan cast a rapid glance around him. The crowd opened, and a warrior, dripping with sweat and overcome with fatigue, appeared. As soon as Kai-Koumou perceived him, he said in English, evidently t..."". This aligns with the backstory claim that 'As a boy he was rescued by British biologist Wallace, who left behind a bird-of-paradise picture book that, twenty years later, convinced him Glenarvan was linked to the naturalist', establishing internal consistency."
70,1,"Primary text states: ""Lady Helena and Mary Grant, suppressing their terror, conversed in low tones with Glenarvan, and the most skillful physiognomist could not have detected on their faces the anxiety of their hearts. The..."". This aligns with the backstory claim that 'At twenty-two he earned the chieftainship by surviving seven days and nights alone on the crater’s rim, bringing back a sulphur-crusted sacred stone; the same year he married white princess Julia of the west-coast tribe, executed her with an obsidian knife when he found her passing information to British missionaries and thereafter banned any white marriage', establishing internal consistency."
115,0,"Primary text states: ""His looking-glass had assured him, during his stay at Leghorn, that he ran no risk of recognition; moreover, he had now the means of adopting any disguise he thought proper. One fine morning, then, hi..."". This refutes the backstory claim that 'As a Jesuit novice he was sent to Goa, secretly read the old Indian medical text Charaka Samhita and laid the groundwork for his later toxicology expertise' by demonstrating an incompatible narrative state."
78,1,"Primary text states: ""Strong spirits, extracted from an indigenous plant, maddened the savages till they seemed no longer human. Would they not forget the taboo of the chief, and throw themselves in their final outbreaks u..."". This aligns with the backstory claim that 'At five he saw her assassinated in inter-tribal strife; to stop further unrest his father ordered the murderer’s entire clan executed, and the child never forgot the sound of flesh stripped from bone', establishing internal consistency."
87,1,"Primary text states: ""Well, sir, the rupture of a blood-vessel on the lobe of the brain has destroyed all this, not in a day, not in an hour, but in a second. M. Noirtier, who, on the previous night, was the old Jacobin, t..."". This aligns with the backstory claim that '**Family Trauma**: His father was guillotined in 1792 for hiding exiled aristocrats; watching the blade fall left him with chronic hand tremors and lifelong revulsion for the old regime', establishing internal consistency."
75,1,"Primary text states: ""Farther on, towards the pah, the lava had consumed a number of huts, that were still smoking. The savages, in scattered groups, were gazing at the vapory summit of Maunganamu with religious awe. Kai-K..."". This aligns with the backstory claim that 'He viewd volcanic eruptions as divine punishment against colonizers', establishing internal consistency."
44,1,"Primary text states: ""His eyes had a sullen look, his teeth were set, and his fists clinched convulsively. His bearing displayed neither exultation nor humility. As soon as he was in Lord Glenarvan's presence, he folded hi..."". This aligns with the backstory claim that 'Solitude brought pride and remorse to the surface; again and again his diary confessed both self-loathing for the betrayal and relief that no one knew the truth', establishing internal consistency."
